name,address,type,opened,closed,borough,date_approx
Kauffman Saddlery Co,"139 E 24th St, New York, NY 10010",sex-shop,1875,1991,Manhattan,yes
Kelly's Village West,"46 Bedford St, New York, NY 10014",cabaret,1974,1991,Manhattan,yes
Pandora's Box,"70 Grove St, New York, NY 10014",bar,1992,1992,Manhattan,no
Chelsea Transfer,"131 8th Ave, New York, NY 10011",bar,1987,1992,Manhattan,yes
Lyric,"213 West 42nd Street, New York, NY 10036",theatre,1903,1992,Manhattan,yes
Bike Stop West,"230 W 75th St, New York, NY 10023",bar,1973,1992,Manhattan,yes
Barbary Coast,"64 7th Avenue, New York, NY 10011",bar,1980,1992,Manhattan,yes
Reed's,"8 Christopher St, New York, NY 10014",bar/restaurant,1986,1992,Manhattan,yes
YMCA- William Sloane House,"356 W 34th St, New York, NY 10001",hotel,1930,1993,Manhattan,no
 Pyramid Bar,"101 Avenue A, New York, NY 10009",bar/club,1982,1993,Manhattan,yes
Rafiki,"170 Avenue A, New York, NY 10009",restaurant,1971,1993,Manhattan,yes
The Break,"232 8th Ave, New York, NY 10011",bar,1986,1993,Manhattan,yes
The Ballroom,"458 W Broadway, New York, NY 10012",restaurant,1980,1993,Manhattan,yes
One Potato,"518 Hudson St, New York, NY 10014",restaurant,1971,1993,Manhattan,yes
Hangout,"675 Hudson St, New York, NY 10014",bar/club,1986,1993,Manhattan,yes
After Five Plus,"5 Front St Brooklyn, NY 11201",bar,1986,1993,Brooklyn ,yes
Northern Men's Sauna,"137-08 Northern Blvd, Flushing, NY 11354",baths,1983,1994,Queens,no
Tiffany Restaurant,"222 West 4th Street, New York, NY 10014",restaurant,1964,1994,Manhattan,no
Twenty Nine Palms,"129 Lexington Ave, New York, NY 10016",bar/restaurant,1982,1994,Manhattan,yes
Waldo's,"151 Montague St Brooklyn, NY 11201",bar/restaurant,1986,1994,Brooklyn,yes
Spring Street Restaurant and Bar,"162 Spring St, New York, NY 10012",restaurant,1971,1994,Manhattan,yes
Rounds,"303 E 53rd St, New York, NY 10022",bar/restaurant,1979,1994,Manhattan,yes
Browne and Ferri,"396 Van Duzer St, Staten Island, NY 10304",bar/restaurant,1983,1995,Staten Island,no
Le Club,"416 E 55th St. New York, NY 10022",private-club/restaurant,1960,1995,Manhattan,no
Love Boat,"7702 Broadway Elmhurst, NY 11373",bar,1985,1995,Queens,no
Glory Hole,"130 11th Ave, New York, NY 10011",private-club,1970,1995,Manhattan,yes
Two Potato,"143 Christopher St, New York, NY 10014",bar,1983,1995,Manhattan,yes
Pegasus,"145 E 23rd St, New York, NY 10010",bar,1972,1995,Manhattan,yes
