name,address,type,opened,closed,borough,date approx.,latitude,longitude
"One If By Land, Two If By Sea","17 Barrow St, New York, NY 10014",restaurant,1973,2025,Manhattan,no,40.732567674323,-74.002725989675
Ronnie's Supper Club,"324 E 49th St, New York, NY 10022",restaurant,1973,1974,Manhattan,yes,40.753939609847,-73.968402985018
The Forest,"1436 3rd Ave, New York, NY 10028",restaurant,1973,1974,Manhattan,yes,40.775856053525,-73.956232736497
Boots and Saddle,"100a 7th Ave S, New York, NY 10014",bar,1974,2015,Manhattan,no,40.733185240577,-74.003132004275
Wall Street Sauna,"1 Maiden Ln, New York, NY 10038",baths,1974,2004,Manhattan,no,40.709830658921,-74.009883639809
Kelly's Village West,"46 Bedford St, New York, NY 10014",cabaret,1974,1991,Manhattan,yes,40.730521309013,-74.004264465965
The Anvil,"500 W 14th St, New York, NY 10014",disco/backroom,1974,1986,Manhattan,no,40.742124683424,-74.008307821975
Flamingo,"599 Broadway, New York, NY 10012",juice bar/disco,1974,1980,Manhattan,no,40.725415586046,-73.996874547861
Beths,"1623 2nd Ave, New York, NY 10028",restaurant,1974,1975,Manhattan,yes,40.776757563183,-73.952647399719
Casa Paco,"330 Bleecker St, New York, NY 10014",restaurant,1974,1985,Manhattan,yes,40.733424155621,-74.004372227954
Charlie & Kelly's,"259 West 4th Street, New York, NY 10014",restaurant,1974,1981,Manhattan,yes,40.735361818764,-74.003212039156
Dazzels,"180 Columbus Ave, New York, NY 10023",restaurant,1974,1975,Manhattan,yes,40.774929575889,-73.980689751554
Johnny's Pub,"123 E 47th St, New York, NY 10017",restaurant,1974,1988,Manhattan,yes,40.75450286198,-73.973302694038
The Ice Cream Connection,"24 St Marks Pl, New York, NY 10003",restaurant,1974,1975,Manhattan,yes,40.728890169089,-73.988515554641
Uncle Charlie's Restaurant,"542 3rd Ave, New York, NY 10016",restaurant,1974,1997,Manhattan,yes,40.747083533595,-73.977215958653
Yellow Brick Road,"228 W 10th St, New York, NY 10014",restaurant,1974,1975,Manhattan,yes,40.733869454035,-74.005084373467
The Alley,"63-02 Roosevelt Ave Flushing, NY 11377",bar,1975,NA,Queens,,40.745780523517,-73.900991502984
Womanbooks,"201 W 92nd St, New York, NY 10025",bookstore,1975,1987,Manhattan,no,40.791579572707,-73.972261259889
Ramrod Theatre,"210 W 49th St, New York, NY 10019",cinema,1975,1980,Manhattan,yes,40.760806204379,-73.98469081891
Adonis Cinema,"8th Ave & W 50th St, New York, NY 10019",cinema,1975,1990,Manhattan,no,40.762287733212,-73.986105054861
Infinity,"653 Broadway, New York, NY 10012",disco,1975,1979,Manhattan,no,40.726898605978,-73.995621417718
Twelve West,"491 West St, New York, NY 10014",juice bar/disco,1975,1980,Manhattan,no,40.738007292063,-74.009770465824
Tor,"21 Greenwich Ave, New York, NY 10014",restaurant,1975,1979,Manhattan,yes,40.734610384385,-74.000016549302
Mother Earth,"381 Van Duzer St, Staten Island, NY 10304",bar,1976,1982,Staten Island,,40.628722795401,-74.079848048926
The Mine Shaft,"835 Washington St, New York, NY 10014",bar/backroom,1976,1985,Manhattan,,40.74032399465,-74.007836605284
Eastside Sauna,"227 E 56th St, New York, NY 10022",baths,1976,2025,Manhattan,no,40.759364997797,-73.967361694538
Brazil,"86 Mills Ave, Staten Island, NY 10305",club,1976,1982,Staten Island,,40.595239242994,-74.067728199583
Les Mouches,"260 W 11th St, New York, NY 10014",disco,1976,1982,Manhattan,yes,40.736098278553,-74.003693680068
Hurrah,"36 W 62nd St, New York, NY 10023",disco,1976,1981,Manhattan,no,40.77071080618,-73.982618435151
East Side Club,"227 E 56th St, New York, NY 10022",health club,1976,2025,Manhattan,no,40.759364997797,-73.967361694538
Empire Diner,"154 11th Ave, New York, NY 10011",restaurant,1976,2025,Manhattan,no,40.736128371045,-74.000201211861
Djuna Books,"154 W 10th St, New York, NY 10014",bookstore,1977,1982,Manhattan,no,40.734419783222,-74.001447275546
Paradise Garage,"84 King St, New York, NY 10014",club,1977,1987,Manhattan,no,40.727914621101,-74.006378195724
Studio 54 (originally Gallo Opera House),"254 W 54th St, New York, NY 10019",disco,1977,1986,Manhattan,,40.764258486722,-73.983165082697
"New York, New York","33 E 52nd St, New York, NY 10022",disco,1977,1981,Manhattan,no,40.759377156497,-73.975159149476
Ice Palace 57,"57 W 57th St, New York, NY 10019",disco,1977,1985,Manhattan,no,40.763785400216,-73.975766063022
Starship Discovery I,"350 W 42nd St, New York, NY 10036",private disco/cabaret,1977,NA,Manhattan,yes,40.757966121327,-73.991695733596
Jan Wallman's,"28 Cornelia St, New York, NY 10014",restaurant,1977,1986,Manhattan,yes,40.731541655941,-74.001646859862
Red Parrot,"617 W 57th St, New York, NY 10019",club,1978,NA,Manhattan,,40.770537095368,-73.991778109394
Roxy,"515 W 18th St, New York, NY 10011",disco,1978,2007,Manhattan,no,40.744821840138,-74.006644554341
Chez Stadium,"56 Greenwich Ave, New York, NY 10011",restaurant,1978,1981,Manhattan,yes,40.735840304718,-74.000587562598
Rawhide,"212 8th Ave, New York, NY 10011",bar,1979,2013,Manhattan,yes,40.743870265304,-73.999435301549
